"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Rect_L18.0mm_W6.0mm_P15.00mm_FKS3_FKP3";1;"225K/2.2uF";;;
2;"C2";"CP_Radial_D10.0mm_P3.80mm";1;"1000uF";;;
3;"C3";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"0.1uF";;;
4;"C4";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
5;"D1, D5, D6, D7";"D_A-405_P10.16mm_Horizontal";4;"1N4007";;;
6;"D2, D3";"D_DO-34_SOD68_P7.62mm_Horizontal";2;"D_Zener";;;
7;"D4";"LED_D5.0mm";1;"LED";;;
8;"J1, J2";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";2;"Screw_Terminal_01x02";;;
9;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1M";;;
10;"R2, R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"20K";;;
11;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2.2K";;;
12;"U1";"TO-220-3_Vertical";1;"LM7805_TO220";;;
